分类: 央视频道, 名称: CCTV世界地理, 总数: 22, 有效: 6, 有效率: 27.27%, IPv4: 21, IPv6: 1, 最小延迟: 428 ms, 最高速率: 46.68 M/s, 平均速率: 12.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV兵器科技, 总数: 22, 有效: 6, 有效率: 27.27%, IPv4: 21, IPv6: 1, 最小延迟: 549 ms, 最高速率: 7.67 M/s, 平均速率: 5.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV文化精品, 总数: 14, 有效: 6, 有效率: 42.86%, IPv4: 12, IPv6: 2, 最小延迟: 630 ms, 最高速率: 19.10 M/s, 平均速率: 7.60 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV央视台球, 总数: 21, 有效: 6, 有效率: 28.57%, IPv4: 19, IPv6: 2, 最小延迟: 420 ms, 最高速率: 9.67 M/s, 平均速率: 6.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV女性时尚, 总数: 21, 有效: 6, 有效率: 28.57%, IPv4: 20, IPv6: 1, 最小延迟: 577 ms, 最高速率: 7.58 M/s, 平均速率: 6.04 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV怀旧剧场, 总数: 23, 有效: 8, 有效率: 34.78%, IPv4: 21, IPv6: 2, 最小延迟: 134 ms, 最高速率: 102.00 M/s, 平均速率: 17.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV第一剧场, 总数: 24, 有效: 6, 有效率: 25.00%, IPv4: 21, IPv6: 3, 最小延迟: 579 ms, 最高速率: 6.97 M/s, 平均速率: 4.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV风云足球, 总数: 27, 有效: 6, 有效率: 22.22%, IPv4: 23, IPv6: 4, 最小延迟: 133 ms, 最高速率: 105.80 M/s, 平均速率: 20.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV高尔夫网球, 总数: 13, 有效: 4, 有效率: 30.77%, IPv4: 11, IPv6: 2, 最小延迟: 458 ms, 最高速率: 7.17 M/s, 平均速率: 6.94 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV风云音乐, 总数: 23, 有效: 6, 有效率: 26.09%, IPv4: 21, IPv6: 2, 最小延迟: 1062 ms, 最高速率: 4.22 M/s, 平均速率: 3.30 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 广东卫视, 总数: 134, 有效: 19, 有效率: 14.18%, IPv4: 123, IPv6: 11, 最小延迟: 118 ms, 最高速率: 149.08 M/s, 平均速率: 25.86 M/s, 最高分辨率: 3840x2160, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 凤凰资讯, 总数: 19, 有效: 7, 有效率: 36.84%, IPv4: 14, IPv6: 5, 最小延迟: 8 ms, 最高速率: 76.32 M/s, 平均速率: 43.85 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 凤凰中文, 总数: 18, 有效: 8, 有效率: 44.44%, IPv4: 13, IPv6: 5, 最小延迟: 74 ms, 最高速率: 80.46 M/s, 平均速率: 48.30 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: hevc, 音频编解码器: aac
分类: 卫视频道, 名称: 香港卫视, 总数: 5, 有效: 0, 有效率: 0.00%, IPv4: 3, IPv6: 2, 最小延迟: 10414 ms, 最高速率: 0.31 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 大湾区卫视, 总数: 62, 有效: 0, 有效率: 0.00%, IPv4: 59, IPv6: 3, 最小延迟: 353 ms, 最高速率: 3.21 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 浙江卫视, 总数: 88, 有效: 14, 有效率: 15.91%, IPv4: 81, IPv6: 7, 最小延迟: 69 ms, 最高速率: 58.13 M/s, 平均速率: 8.35 M/s, 最高分辨率: 3840x2160, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 湖南卫视, 总数: 97, 有效: 21, 有效率: 21.65%, IPv4: 87, IPv6: 10, 最小延迟: 6 ms, 最高速率: 14.64 M/s, 平均速率: 4.06 M/s, 最高分辨率: 3840x2160, 平均帧率: 36.36, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 北京卫视, 总数: 92, 有效: 22, 有效率: 23.91%, IPv4: 87, IPv6: 5, 最小延迟: 123 ms, 最高速率: 104.67 M/s, 平均速率: 23.78 M/s, 最高分辨率: 3840x2160, 平均帧率: 40.91, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 湖北卫视, 总数: 83, 有效: 16, 有效率: 19.28%, IPv4: 75, IPv6: 8, 最小延迟: 124 ms, 最高速率: 111.13 M/s, 平均速率: 19.59 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 黑龙江卫视, 总数: 71, 有效: 14, 有效率: 19.72%, IPv4: 64, IPv6: 7, 最小延迟: 261 ms, 最高速率: 88.75 M/s, 平均速率: 16.78 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.11, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 安徽卫视, 总数: 76, 有效: 14, 有效率: 18.42%, IPv4: 67, IPv6: 9, 最小延迟: 125 ms, 最高速率: 110.58 M/s, 平均速率: 17.17 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.56, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 重庆卫视, 总数: 73, 有效: 9, 有效率: 12.33%, IPv4: 65, IPv6: 8, 最小延迟: 59 ms, 最高速率: 62.33 M/s, 平均速率: 3.40 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 东方卫视, 总数: 89, 有效: 13, 有效率: 14.61%, IPv4: 81, IPv6: 8, 最小延迟: 559 ms, 最高速率: 23.58 M/s, 平均速率: 8.78 M/s, 最高分辨率: 3840x2160, 平均帧率: 33.82, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 东南卫视, 总数: 74, 有效: 10, 有效率: 13.51%, IPv4: 64, IPv6: 10, 最小延迟: 247 ms, 最高速率: 36.14 M/s, 平均速率: 4.08 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.36, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 甘肃卫视, 总数: 49, 有效: 8, 有效率: 16.33%, IPv4: 44, IPv6: 5, 最小延迟: 286 ms, 最高速率: 14.05 M/s, 平均速率: 5.61 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 广西卫视, 总数: 64, 有效: 7, 有效率: 10.94%, IPv4: 58, IPv6: 6, 最小延迟: 306 ms, 最高速率: 11.57 M/s, 平均速率: 4.45 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 贵州卫视, 总数: 61, 有效: 6, 有效率: 9.84%, IPv4: 55, IPv6: 6, 最小延迟: 546 ms, 最高速率: 7.23 M/s, 平均速率: 6.04 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.62, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 海南卫视, 总数: 56, 有效: 2, 有效率: 3.57%, IPv4: 49, IPv6: 7, 最小延迟: 234 ms, 最高速率: 34.33 M/s, 平均速率: 2.61 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 河北卫视, 总数: 66, 有效: 5, 有效率: 7.58%, IPv4: 57, IPv6: 9, 最小延迟: 64 ms, 最高速率: 58.28 M/s, 平均速率: 5.14 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 河南卫视, 总数: 75, 有效: 12, 有效率: 16.00%, IPv4: 66, IPv6: 9, 最小延迟: 18 ms, 最高速率: 71.83 M/s, 平均速率: 19.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.93, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 吉林卫视, 总数: 68, 有效: 9, 有效率: 13.24%, IPv4: 61, IPv6: 7, 最小延迟: 376 ms, 最高速率: 13.37 M/s, 平均速率: 5.11 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 江苏卫视, 总数: 85, 有效: 14, 有效率: 16.47%, IPv4: 77, IPv6: 8, 最小延迟: 191 ms, 最高速率: 70.38 M/s, 平均速率: 11.99 M/s, 最高分辨率: 3840x2160, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 江西卫视, 总数: 70, 有效: 10, 有效率: 14.29%, IPv4: 64, IPv6: 6, 最小延迟: 600 ms, 最高速率: 10.72 M/s, 平均速率: 5.25 M/s, 最高分辨率: 1920x1080, 平均帧率: 44.44, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 辽宁卫视, 总数: 75, 有效: 14, 有效率: 18.67%, IPv4: 67, IPv6: 8, 最小延迟: 300 ms, 最高速率: 7.40 M/s, 平均速率: 3.18 M/s, 最高分辨率: 1920x1080, 平均帧率: 45.83, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 内蒙古卫视, 总数: 42, 有效: 12, 有效率: 28.57%, IPv4: 38, IPv6: 4, 最小延迟: 122 ms, 最高速率: 105.77 M/s, 平均速率: 14.72 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 宁夏卫视, 总数: 45, 有效: 11, 有效率: 24.44%, IPv4: 41, IPv6: 4, 最小延迟: 117 ms, 最高速率: 105.21 M/s, 平均速率: 28.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 39.29, 视频编解码器: h264, 音频编解码器: mp2
